Cod Prodotto;Des Prodotto;Cod Uso Varieta;Des Uso Varieta;CODI_OCCU;CODI_DEST_USO;CODI_USO;CODI_QUAL;DESC_OCCU;DEST_USO;DESC_USO;DESC_QUAL
395;PASTINACA;000;;395;000;000;000;PASTINACA;;;
396;PIANTAGGINE LANCEOLATA O LINGUA DI CANE;000;;396;000;000;000;PIANTAGGINE LANCEOLATA O LINGUA DI CANE;;;
397;PIANTAGGINE MAGGIORE O LINGUA D'OCA;000;;397;000;000;000;PIANTAGGINE MAGGIORE O LINGUA D'OCA;;;
398;PSILLO O PLANTAGO OVATA;000;;398;000;000;000;PSILLO O PLANTAGO OVATA;;;
399;PILOSELLA;000;;399;000;000;000;PILOSELLA;;;
400;SUPERFICI SEMINABILI - COLTURE DA DEFINIRE;000;;666;000;000;000;SEMINATIVI;;;
402;CHINOTTO;000;;387;000;000;000;CHINOTTO;;;
404;BABACO;000;;404;000;000;000;BABACO;;;
405;AVOCADO;000;;405;000;000;000;AVOCADO;;;
406;TERRAZZAMENTI;000;;790;000;000;000;TERRAZZAMENTI;;;
406;TERRAZZAMENTI;114;SISTEMI LINEARI;790;114;000;038;TERRAZZAMENTI;SISTEMI LINEARI;;INCLUSO/ADIACENTE AL  SEMINATIVO
406;TERRAZZAMENTI;S01;SISTEMI LINEARI;790;114;000;040;TERRAZZAMENTI;SISTEMI LINEARI;;INCLUSO/ADIACENTE AL  PRATO PERMANENTE
406;TERRAZZAMENTI;S02;SISTEMI LINEARI;790;114;000;041;TERRAZZAMENTI;SISTEMI LINEARI;;INCLUSO/ADIACENTE ALLA  COLTURA PERMANENTE
406;TERRAZZAMENTI;S03;SISTEMI LINEARI CREATI EX NOVO SUI SEMINATIVI;;;;;;;;
407;FICODINDIA;000;;407;000;000;000;FICODINDIA;;;
408;MELOGRANO;000;;408;000;000;000;MELOGRANO;;;
409;CIPOLLETTA  CIPOLLA D'INVERNO DA SEME;000;;219;008;000;000;CIPOLLETTA  CIPOLLA D'INVERNO O BUNCHING ONION;DA SEME;;
411;ROSA CANINA;000;;411;000;000;000;ROSA CANINA;;;
411;ROSA CANINA;017;DA VIVAIO - PERMANENTE;411;010;000;000;ROSA CANINA;DA VIVAIO;;
